"Редактирование любых моделей, созданных в СУМ и в СУРМ",+/+,,,,,,,,,,,,,,,,,,,,
"Редактирование моделей, созданных в СУМ",+/-,,,,,,,,,,,,,,,,,,,,
"Редактирование моделей, созданных в СУРМ",-/+,,,,,,,,,,,,,,,,,,,,
Редактирование недоступно,-/-,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Название атрибута в СУРМ,Источник СУМ,"Бизнес-заказчик (Владелец модели)  для моделей, созданных в СУМ/созданных в СУРМ","Руководитель Вадилации, Валидатор для моделей, созданных в СУМ/созданных в СУРМ","Руководитель DE, DE  для моделей, созданных в СУМ/созданных в СУРМ","DS_Lead для моделей, созданных в СУМ/созданных в СУРМ","DS  для моделей, созданных в СУМ/созданных в СУРМ","Руководитель ModelOps,  ModelOps для моделей, созданных в СУМ/созданных в СУРМ","Бизнес-партнер  стрима для моделей, созданных в СУМ/созданных в СУРМ","Бизнес-партнер  (штабная) для моделей, созданных в СУМ/созданных в СУРМ",Доступен ли для редактирования в СУРМ,Реализованный алгоритм синхронизации,Целевой алгоритм синхронизации,,,,,,,,,
Идентификатор версии модели,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,Нет,"Для моделей, созданных в СУМ, значение синхронизируется из СУМ.
Для моделей, созданных в СУРМ, значение генерируется в СУРМ","Из СУМ в СУРМ 
ИЗ СУРМ в СУМ",,,,,,,,,
Компания группы,+,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,"Первоначальное значение синхронизируется из СУМ в СУРМ для моделей, созданных в СУМ
Редактированное значение в СУРМ НЕ синхронизируется в СУМ.
Редактированное значение в СУМ НЕ синхронизируется в СУРМ.",,,,,,,,,
Отчетная дата / дата последних изменений информации о Модели,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,Нет,Синхронизации нет,Синхронизации нет,,,,,,,,,
Алиас модели,+,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,Нет,Значение синхронизируется из СУМ в СУРМ,Из СУМ в СУРМ,,,,,,,,,
Идентификатор Модели / ID,-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,Нет,Синхронизации нет,Синхронизации нет,,,,,,,,,
Версия модели / алгоритма,+,-/-,-/-,-/-,-/-,-/-,-/-,-/-,-/-,Нет,Значение синхронизируется из СУМ в СУРМ,Из СУМ в СУРМ,,,,,,,,,
Версия Модели от владельца,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Название модели,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
Описание модели,+,+/+,+/+,-/-,+/-,+/-,-/-,-/-,+/-,Да,"Первоначальное значение синхронизируется из СУМ в СУРМ.
Редактированное значение в СУРМ не синхронизируется в СУМ.
Редактированное значение в СУМ не синхронизируется в СУРМ.","Первоначальное значение синхронизируется из СУМ в СУРМ, для моделей созданных в СУМ
Редактированное значение в СУРМ НЕ синхронизируется в СУМ.
Редактированное значение в СУМ НЕ синхронизируется в СУРМ.",,,,,,,,,
Тип модели,-,+/+,+/+,-/-,-/-,-/-,-/-,-/-,-/-,Да,Синхронизации нет,Синхронизации нет,,,,,,,,,
